,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,ALABAMA,"TUNA, BLACKFIN","101,464",46,"173,788",Public,Commercial,Thunnus atlanticus,172427,GULFFIN
2022,ALABAMA,"TUNA, LITTLE TUNNY","27,764",13,"23,709",Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2022,ALABAMA,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,CALIFORNIA,"TUNA, ALBACORE","495,898",225,"976,577",Public,Commercial,Thunnus alalunga,172419,PACFIN
2022,CALIFORNIA,"TUNA, BIGEYE","509,879",231,"1,938,769",Public,Commercial,Thunnus obesus,172428,PACFIN
2022,CALIFORNIA,"TUNA, BLUEFIN PACIFIC","810,929",368,"2,215,658",Public,Commercial,Thunnus orientalis,172422,PACFIN
2022,CALIFORNIA,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,PACFIN
2022,CALIFORNIA,"TUNA, YELLOWFIN","1,075,991",488,"1,134,993",Public,Commercial,Thunnus albacares,172423,PACFIN
2022,CALIFORNIA,TUNAS **,,,,Confidential,Commercial,Thunnus,172418,PACFIN
2022,CONNECTICUT,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,CONNECTICUT,"TUNA, BIGEYE","34,073",15,"249,830",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,CONNECTICUT,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,CONNECTICUT,"TUNA, LITTLE TUNNY",2,0,1,Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,CONNECTICUT,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,CONNECTICUT,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, ALBACORE","112,001",51,"245,655",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, BIGEYE","54,181",25,"217,156",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, BLACKFIN","8,229",4,"12,944",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2022,FLORIDA-EAST,"TUNA, BLUEFIN","10,380",5,"44,150",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, LITTLE TUNNY","294,466",134,"211,220",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,FLORIDA-EAST,"TUNA, SKIPJACK",216,0,436,Public,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
